study,region,sample,cell_type,cell_type_clean,sample_id
Choudhury2022_Brain,Brain,MSC1,Malignant,Malignant,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Monocyte,Monocyte,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Pericyte,Pericyte,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,T_cell,T cell,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Glia,Glia,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC1,Endothelial,Endothelial,Choudhury2022_Brain::MSC1
Choudhury2022_Brain,Brain,MSC2,Monocyte,Monocyte,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Pericyte,Pericyte,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Malignant,Malignant,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,T_cell,T cell,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Glia,Glia,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC2,Endothelial,Endothelial,Choudhury2022_Brain::MSC2
Choudhury2022_Brain,Brain,MSC3,Malignant,Malignant,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Monocyte,Monocyte,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Pericyte,Pericyte,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Endothelial,Endothelial,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,T_cell,T cell,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC3,Glia,Glia,Choudhury2022_Brain::MSC3
Choudhury2022_Brain,Brain,MSC4,Monocyte,Monocyte,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Malignant,Malignant,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Endothelial,Endothelial,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Pericyte,Pericyte,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,Glia,Glia,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4,T_cell,T cell,Choudhury2022_Brain::MSC4
Choudhury2022_Brain,Brain,MSC4-Dura,Malignant,Malignant,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,T_cell,T cell,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Pericyte,Pericyte,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Monocyte,Monocyte,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Endothelial,Endothelial,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC4-Dura,Glia,Glia,Choudhury2022_Brain::MSC4-Dura
Choudhury2022_Brain,Brain,MSC5,Malignant,Malignant,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Monocyte,Monocyte,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Pericyte,Pericyte,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Glia,Glia,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,Endothelial,Endothelial,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5,T_cell,T cell,Choudhury2022_Brain::MSC5
Choudhury2022_Brain,Brain,MSC5-BTI,Malignant,Malignant,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Endothelial,Endothelial,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Glia,Glia,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Monocyte,Monocyte,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,Pericyte,Pericyte,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-BTI,T_cell,T cell,Choudhury2022_Brain::MSC5-BTI
Choudhury2022_Brain,Brain,MSC5-Dura,Glia,Glia,Choudhury2022_Brain::MSC5-Dura
Choudhury2022_Brain,Brain,MSC5-Dura,Endothelial,Endothelial,Choudhury2022_Brain::MSC5-Dura
Choudhury2022_Brain,Brain,MSC5-Dura,T_cell,T cell,Choudhury2022_Brain::MSC5-Dura
Choudhury2022_Brain,Brain,MSC5-Dura,Malignant,Malignant,Choudhury2022_Brain::MSC5-Dura
Choudhury2022_Brain,Brain,MSC5-Dura,Pericyte,Pericyte,Choudhury2022_Brain::MSC5-Dura
Choudhury2022_Brain,Brain,MSC5-Dura,Monocyte,Monocyte,Choudhury2022_Brain::MSC5-Dura
Choudhury2022_Brain,Brain,MSC6,Malignant,Malignant,Choudhury2022_Brain::MSC6
Choudhury2022_Brain,Brain,MSC6,T_cell,T cell,Choudhury2022_Brain::MSC6
Choudhury2022_Brain,Brain,MSC6,Monocyte,Monocyte,Choudhury2022_Brain::MSC6
Choudhury2022_Brain,Brain,MSC6,Glia,Glia,Choudhury2022_Brain::MSC6
Choudhury2022_Brain,Brain,MSC6,Endothelial,Endothelial,Choudhury2022_Brain::MSC6
Choudhury2022_Brain,Brain,MSC6,Pericyte,Pericyte,Choudhury2022_Brain::MSC6
Choudhury2022_Brain,Brain,MSC6-BTI,Pericyte,Pericyte,Choudhury2022_Brain::MSC6-BTI
Choudhury2022_Brain,Brain,MSC6-BTI,T_cell,T cell,Choudhury2022_Brain::MSC6-BTI
Choudhury2022_Brain,Brain,MSC6-BTI,Monocyte,Monocyte,Choudhury2022_Brain::MSC6-BTI
Choudhury2022_Brain,Brain,MSC6-BTI,Malignant,Malignant,Choudhury2022_Brain::MSC6-BTI
Choudhury2022_Brain,Brain,MSC6-BTI,Glia,Glia,Choudhury2022_Brain::MSC6-BTI
Choudhury2022_Brain,Brain,MSC6-BTI,Endothelial,Endothelial,Choudhury2022_Brain::MSC6-BTI
Couturier2020_Brain,Brain,BT363_1of2,Malignant,Malignant,Couturier2020_Brain::BT363_1of2
Couturier2020_Brain,Brain,BT400,Malignant,Malignant,Couturier2020_Brain::BT400
Couturier2020_Brain,Brain,BT368,Malignant,Malignant,Couturier2020_Brain::BT368
Couturier2020_Brain,Brain,BT397_1of2,Malignant,Malignant,Couturier2020_Brain::BT397_1of2
Couturier2020_Brain,Brain,HFA570_total,Malignant,Malignant,Couturier2020_Brain::HFA570_total
Couturier2020_Brain,Brain,BT409,Malignant,Malignant,Couturier2020_Brain::BT409
Couturier2020_Brain,Brain,BT390,Malignant,Malignant,Couturier2020_Brain::BT390
Couturier2020_Brain,Brain,BT322,Malignant,Malignant,Couturier2020_Brain::BT322
Couturier2020_Brain,Brain,BT402,Malignant,Malignant,Couturier2020_Brain::BT402
Couturier2020_Brain,Brain,BT346,Malignant,Malignant,Couturier2020_Brain::BT346
Couturier2020_Brain,Brain,BT397_2of2,Malignant,Malignant,Couturier2020_Brain::BT397_2of2
Couturier2020_Brain,Brain,BT389,Malignant,Malignant,Couturier2020_Brain::BT389
Couturier2020_Brain,Brain,HFA567_cd133,Malignant,Malignant,Couturier2020_Brain::HFA567_cd133
Couturier2020_Brain,Brain,NSC1_cd133,Malignant,Malignant,Couturier2020_Brain::NSC1_cd133
Couturier2020_Brain,Brain,BT333,Malignant,Malignant,Couturier2020_Brain::BT333
Couturier2020_Brain,Brain,HFA570_cd133,Malignant,Malignant,Couturier2020_Brain::HFA570_cd133
Couturier2020_Brain,Brain,BT363-GSC,Malignant,Malignant,Couturier2020_Brain::BT363-GSC
Couturier2020_Brain,Brain,BT338_1of2,Malignant,Malignant,Couturier2020_Brain::BT338_1of2
Couturier2020_Brain,Brain,BT324-GSC,Malignant,Malignant,Couturier2020_Brain::BT324-GSC
Couturier2020_Brain,Brain,HFA571_cd133,Malignant,Malignant,Couturier2020_Brain::HFA571_cd133
Couturier2020_Brain,Brain,BT363_2of2,Malignant,Malignant,Couturier2020_Brain::BT363_2of2
Couturier2020_Brain,Brain,HFA567_total,Malignant,Malignant,Couturier2020_Brain::HFA567_total
Couturier2020_Brain,Brain,HFA571_total,Malignant,Malignant,Couturier2020_Brain::HFA571_total
Couturier2020_Brain,Brain,BT326-GSC,Malignant,Malignant,Couturier2020_Brain::BT326-GSC
Couturier2020_Brain,Brain,BT333-GSC,Malignant,Malignant,Couturier2020_Brain::BT333-GSC
Couturier2020_Brain,Brain,BT407,Malignant,Malignant,Couturier2020_Brain::BT407
Couturier2020_Brain,Brain,BT364_2of2,Malignant,Malignant,Couturier2020_Brain::BT364_2of2
Couturier2020_Brain,Brain,BT368-GSC,Malignant,Malignant,Couturier2020_Brain::BT368-GSC
Couturier2020_Brain,Brain,BT338_2of2,Malignant,Malignant,Couturier2020_Brain::BT338_2of2
Darmanis2017_Brain,Brain,BT_S2,Malignant,Malignant,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S2,Oligodendrocyte,Oligodendrocyte,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S2,OPC,OPC,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S2,Myeloid,Myeloid,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S2,Neuron,Neuron,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S2,Vascular,Vascular,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S2,Astrocyte,Astrocyte,Darmanis2017_Brain::BT_S2
Darmanis2017_Brain,Brain,BT_S1,Oligodendrocyte,Oligodendrocyte,Darmanis2017_Brain::BT_S1
Darmanis2017_Brain,Brain,BT_S1,Myeloid,Myeloid,Darmanis2017_Brain::BT_S1
Darmanis2017_Brain,Brain,BT_S1,Malignant,Malignant,Darmanis2017_Brain::BT_S1
Darmanis2017_Brain,Brain,BT_S1,OPC,OPC,Darmanis2017_Brain::BT_S1
Darmanis2017_Brain,Brain,BT_S1,Astrocyte,Astrocyte,Darmanis2017_Brain::BT_S1
Darmanis2017_Brain,Brain,BT_S1,Vascular,Vascular,Darmanis2017_Brain::BT_S1
Darmanis2017_Brain,Brain,BT_S4,Myeloid,Myeloid,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S4,Malignant,Malignant,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S4,OPC,OPC,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S4,Vascular,Vascular,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S4,Astrocyte,Astrocyte,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S4,Oligodendrocyte,Oligodendrocyte,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S4,Neuron,Neuron,Darmanis2017_Brain::BT_S4
Darmanis2017_Brain,Brain,BT_S6,Vascular,Vascular,Darmanis2017_Brain::BT_S6
Darmanis2017_Brain,Brain,BT_S6,Myeloid,Myeloid,Darmanis2017_Brain::BT_S6
Darmanis2017_Brain,Brain,BT_S6,Malignant,Malignant,Darmanis2017_Brain::BT_S6
Darmanis2017_Brain,Brain,BT_S6,Oligodendrocyte,Oligodendrocyte,Darmanis2017_Brain::BT_S6
Darmanis2017_Brain,Brain,BT_S6,OPC,OPC,Darmanis2017_Brain::BT_S6
Darmanis2017_Brain,Brain,BT_S6,Astrocyte,Astrocyte,Darmanis2017_Brain::BT_S6
Filbin2018_Brain,Brain,BCH1126,Malignant,Malignant,Filbin2018_Brain::BCH1126
Filbin2018_Brain,Brain,BCH1126,Macrophage,Macrophage,Filbin2018_Brain::BCH1126
Filbin2018_Brain,Brain,BCH1126,Oligodendrocyte,Oligodendrocyte,Filbin2018_Brain::BCH1126
Filbin2018_Brain,Brain,BCH836,Malignant,Malignant,Filbin2018_Brain::BCH836
Filbin2018_Brain,Brain,BCH836,Macrophage,Macrophage,Filbin2018_Brain::BCH836
Filbin2018_Brain,Brain,BCH836,Oligodendrocyte,Oligodendrocyte,Filbin2018_Brain::BCH836
Filbin2018_Brain,Brain,BCH869,Malignant,Malignant,Filbin2018_Brain::BCH869
Filbin2018_Brain,Brain,BCH869,Macrophage,Macrophage,Filbin2018_Brain::BCH869
Filbin2018_Brain,Brain,BCH869,Oligodendrocyte,Oligodendrocyte,Filbin2018_Brain::BCH869
Filbin2018_Brain,Brain,MUV01,Malignant,Malignant,Filbin2018_Brain::MUV01
Filbin2018_Brain,Brain,MUV01,Macrophage,Macrophage,Filbin2018_Brain::MUV01
Filbin2018_Brain,Brain,MUV01,Oligodendrocyte,Oligodendrocyte,Filbin2018_Brain::MUV01
Filbin2018_Brain,Brain,MUV10,Malignant,Malignant,Filbin2018_Brain::MUV10
Filbin2018_Brain,Brain,MUV05,Malignant,Malignant,Filbin2018_Brain::MUV05
Filbin2018_Brain,Brain,MUV05,Oligodendrocyte,Oligodendrocyte,Filbin2018_Brain::MUV05
Filbin2018_Brain,Brain,MUV05,Macrophage,Macrophage,Filbin2018_Brain::MUV05
Filbin2018_Brain,Brain,Oligo,Oligodendrocyte,Oligodendrocyte,Filbin2018_Brain::Oligo
Gojo2020_Brain,Brain,BT1030,Malignant,Malignant,Gojo2020_Brain::BT1030
Gojo2020_Brain,Brain,BT1030,Macrophage,Macrophage,Gojo2020_Brain::BT1030
Gojo2020_Brain,Brain,BT1030,OPC,OPC,Gojo2020_Brain::BT1030
Gojo2020_Brain,Brain,BT1313,OPC,OPC,Gojo2020_Brain::BT1313
Gojo2020_Brain,Brain,BT1313,T_cell,T cell,Gojo2020_Brain::BT1313
Gojo2020_Brain,Brain,BT1313,Macrophage,Macrophage,Gojo2020_Brain::BT1313
Gojo2020_Brain,Brain,BT1334,Macrophage,Macrophage,Gojo2020_Brain::BT1334
Gojo2020_Brain,Brain,BT1334,T_cell,T cell,Gojo2020_Brain::BT1334
Gojo2020_Brain,Brain,BT1334,OPC,OPC,Gojo2020_Brain::BT1334
Gojo2020_Brain,Brain,BT1678,Malignant,Malignant,Gojo2020_Brain::BT1678
Gojo2020_Brain,Brain,CPDM0785,Malignant,Malignant,Gojo2020_Brain::CPDM0785
Gojo2020_Brain,Brain,MUV006,Malignant,Malignant,Gojo2020_Brain::MUV006
Gojo2020_Brain,Brain,MUV013,Malignant,Malignant,Gojo2020_Brain::MUV013
Gojo2020_Brain,Brain,MUV014,Malignant,Malignant,Gojo2020_Brain::MUV014
Gojo2020_Brain,Brain,MUV014,OPC,OPC,Gojo2020_Brain::MUV014
Gojo2020_Brain,Brain,MUV018,Malignant,Malignant,Gojo2020_Brain::MUV018
Gojo2020_Brain,Brain,MUV018,Oligodendrocyte,Oligodendrocyte,Gojo2020_Brain::MUV018
Gojo2020_Brain,Brain,MUV018,OPC,OPC,Gojo2020_Brain::MUV018
Gojo2020_Brain,Brain,MUV021,Malignant,Malignant,Gojo2020_Brain::MUV021
Gojo2020_Brain,Brain,MUV038,Malignant,Malignant,Gojo2020_Brain::MUV038
Gojo2020_Brain,Brain,MUV043,Malignant,Malignant,Gojo2020_Brain::MUV043
Gojo2020_Brain,Brain,MUV051,Malignant,Malignant,Gojo2020_Brain::MUV051
Gojo2020_Brain,Brain,MUV051,Oligodendrocyte,Oligodendrocyte,Gojo2020_Brain::MUV051
Gojo2020_Brain,Brain,MUV051,OPC,OPC,Gojo2020_Brain::MUV051
Gojo2020_Brain,Brain,MUV052,OPC,OPC,Gojo2020_Brain::MUV052
Gojo2020_Brain,Brain,MUV052,Malignant,Malignant,Gojo2020_Brain::MUV052
Gojo2020_Brain,Brain,MUV052,Oligodendrocyte,Oligodendrocyte,Gojo2020_Brain::MUV052
Gojo2020_Brain,Brain,MUV052,Macrophage,Macrophage,Gojo2020_Brain::MUV052
Gojo2020_Brain,Brain,MUV053,Malignant,Malignant,Gojo2020_Brain::MUV053
Gojo2020_Brain,Brain,MUV053,OPC,OPC,Gojo2020_Brain::MUV053
Gojo2020_Brain,Brain,MUV056,Malignant,Malignant,Gojo2020_Brain::MUV056
Gojo2020_Brain,Brain,MUV063,Malignant,Malignant,Gojo2020_Brain::MUV063
Gojo2020_Brain,Brain,MUV063,OPC,OPC,Gojo2020_Brain::MUV063
Gojo2020_Brain,Brain,MUV063,Oligodendrocyte,Oligodendrocyte,Gojo2020_Brain::MUV063
Gojo2020_Brain,Brain,MUV063,Macrophage,Macrophage,Gojo2020_Brain::MUV063
Gojo2020_Brain,Brain,MUV068,Malignant,Malignant,Gojo2020_Brain::MUV068
Gojo2020_Brain,Brain,MUV071,Malignant,Malignant,Gojo2020_Brain::MUV071
Gojo2020_Brain,Brain,Peds4,Malignant,Malignant,Gojo2020_Brain::Peds4
Gojo2020_Brain,Brain,Peds4,Oligodendrocyte,Oligodendrocyte,Gojo2020_Brain::Peds4
Gojo2020_Brain,Brain,Peds4,OPC,OPC,Gojo2020_Brain::Peds4
Gojo2020_Brain,Brain,BT1412Nuc,Malignant,Malignant,Gojo2020_Brain::BT1412Nuc
Gojo2020_Brain,Brain,BT1412Nuc,Macrophage,Macrophage,Gojo2020_Brain::BT1412Nuc
Gojo2020_Brain,Brain,BT1480Nuc,Malignant,Malignant,Gojo2020_Brain::BT1480Nuc
Gojo2020_Brain,Brain,MUV043Nuc1,Malignant,Malignant,Gojo2020_Brain::MUV043Nuc1
Gojo2020_Brain,Brain,MUV043Nuc1,Oligodendrocyte,Oligodendrocyte,Gojo2020_Brain::MUV043Nuc1
Gojo2020_Brain,Brain,MUV043Nuc1,Macrophage,Macrophage,Gojo2020_Brain::MUV043Nuc1
Gojo2020_Brain,Brain,MUV043Nuc2,Malignant,Malignant,Gojo2020_Brain::MUV043Nuc2
Gojo2020_Brain,Brain,MUV043Nuc3,OPC,OPC,Gojo2020_Brain::MUV043Nuc3
Neftel2019_Brain,Brain,MGH101,Macrophage,Macrophage,Neftel2019_Brain::MGH101
Neftel2019_Brain,Brain,MGH100,Malignant,Malignant,Neftel2019_Brain::MGH100
Neftel2019_Brain,Brain,MGH101,Malignant,Malignant,Neftel2019_Brain::MGH101
Neftel2019_Brain,Brain,MGH102,Malignant,Malignant,Neftel2019_Brain::MGH102
Neftel2019_Brain,Brain,MGH102,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH102
Neftel2019_Brain,Brain,MGH102,Macrophage,Macrophage,Neftel2019_Brain::MGH102
Neftel2019_Brain,Brain,MGH104,Malignant,Malignant,Neftel2019_Brain::MGH104
Neftel2019_Brain,Brain,MGH105,Macrophage,Macrophage,Neftel2019_Brain::MGH105
Neftel2019_Brain,Brain,MGH105,Malignant,Malignant,Neftel2019_Brain::MGH105
Neftel2019_Brain,Brain,MGH105,T_cell,T cell,Neftel2019_Brain::MGH105
Neftel2019_Brain,Brain,MGH105,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH105
Neftel2019_Brain,Brain,MGH106,Malignant,Malignant,Neftel2019_Brain::MGH106
Neftel2019_Brain,Brain,MGH106,Macrophage,Macrophage,Neftel2019_Brain::MGH106
Neftel2019_Brain,Brain,MGH106,T_cell,T cell,Neftel2019_Brain::MGH106
Neftel2019_Brain,Brain,MGH110,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH110
Neftel2019_Brain,Brain,MGH110,T_cell,T cell,Neftel2019_Brain::MGH110
Neftel2019_Brain,Brain,MGH110,Macrophage,Macrophage,Neftel2019_Brain::MGH110
Neftel2019_Brain,Brain,MGH110,Malignant,Malignant,Neftel2019_Brain::MGH110
Neftel2019_Brain,Brain,MGH113,Malignant,Malignant,Neftel2019_Brain::MGH113
Neftel2019_Brain,Brain,MGH113,Macrophage,Macrophage,Neftel2019_Brain::MGH113
Neftel2019_Brain,Brain,MGH113,T_cell,T cell,Neftel2019_Brain::MGH113
Neftel2019_Brain,Brain,MGH115,Malignant,Malignant,Neftel2019_Brain::MGH115
Neftel2019_Brain,Brain,MGH115,Macrophage,Macrophage,Neftel2019_Brain::MGH115
Neftel2019_Brain,Brain,MGH121,Malignant,Malignant,Neftel2019_Brain::MGH121
Neftel2019_Brain,Brain,MGH121,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH121
Neftel2019_Brain,Brain,MGH122,Macrophage,Macrophage,Neftel2019_Brain::MGH122
Neftel2019_Brain,Brain,MGH122,T_cell,T cell,Neftel2019_Brain::MGH122
Neftel2019_Brain,Brain,MGH122,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH122
Neftel2019_Brain,Brain,MGH122,Malignant,Malignant,Neftel2019_Brain::MGH122
Neftel2019_Brain,Brain,MGH124,Malignant,Malignant,Neftel2019_Brain::MGH124
Neftel2019_Brain,Brain,MGH124,Macrophage,Macrophage,Neftel2019_Brain::MGH124
Neftel2019_Brain,Brain,MGH124,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH124
Neftel2019_Brain,Brain,MGH125,Macrophage,Macrophage,Neftel2019_Brain::MGH125
Neftel2019_Brain,Brain,MGH125,T_cell,T cell,Neftel2019_Brain::MGH125
Neftel2019_Brain,Brain,MGH125,Malignant,Malignant,Neftel2019_Brain::MGH125
Neftel2019_Brain,Brain,MGH125,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH125
Neftel2019_Brain,Brain,BT749,Malignant,Malignant,Neftel2019_Brain::BT749
Neftel2019_Brain,Brain,BT771,Malignant,Malignant,Neftel2019_Brain::BT771
Neftel2019_Brain,Brain,BT830,Malignant,Malignant,Neftel2019_Brain::BT830
Neftel2019_Brain,Brain,BT85,Malignant,Malignant,Neftel2019_Brain::BT85
Neftel2019_Brain,Brain,BT85,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::BT85
Neftel2019_Brain,Brain,BT1160,Malignant,Malignant,Neftel2019_Brain::BT1160
Neftel2019_Brain,Brain,BT1187,Macrophage,Macrophage,Neftel2019_Brain::BT1187
Neftel2019_Brain,Brain,BT1187,T_cell,T cell,Neftel2019_Brain::BT1187
Neftel2019_Brain,Brain,BT1187,Malignant,Malignant,Neftel2019_Brain::BT1187
Neftel2019_Brain,Brain,BT786,Malignant,Malignant,Neftel2019_Brain::BT786
Neftel2019_Brain,Brain,BT786,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::BT786
Neftel2019_Brain,Brain,BT786,Macrophage,Macrophage,Neftel2019_Brain::BT786
Neftel2019_Brain,Brain,BT920,Macrophage,Macrophage,Neftel2019_Brain::BT920
Neftel2019_Brain,Brain,BT920,Malignant,Malignant,Neftel2019_Brain::BT920
Neftel2019_Brain,Brain,BT749,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::BT749
Neftel2019_Brain,Brain,BT771,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::BT771
Neftel2019_Brain,Brain,BT771,Macrophage,Macrophage,Neftel2019_Brain::BT771
Neftel2019_Brain,Brain,MGH128,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH128
Neftel2019_Brain,Brain,MGH128,Malignant,Malignant,Neftel2019_Brain::MGH128
Neftel2019_Brain,Brain,MGH129,Malignant,Malignant,Neftel2019_Brain::MGH129
Neftel2019_Brain,Brain,MGH129,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH129
Neftel2019_Brain,Brain,MGH136,Malignant,Malignant,Neftel2019_Brain::MGH136
Neftel2019_Brain,Brain,MGH136,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH136
Neftel2019_Brain,Brain,MGH143,Malignant,Malignant,Neftel2019_Brain::MGH143
Neftel2019_Brain,Brain,MGH143,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH143
Neftel2019_Brain,Brain,MGH151,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH151
Neftel2019_Brain,Brain,MGH151,Malignant,Malignant,Neftel2019_Brain::MGH151
Neftel2019_Brain,Brain,MGH152,Malignant,Malignant,Neftel2019_Brain::MGH152
Neftel2019_Brain,Brain,MGH152,Oligodendrocyte,Oligodendrocyte,Neftel2019_Brain::MGH152
Neftel2019_Brain,Brain,MGH66,Malignant,Malignant,Neftel2019_Brain::MGH66
Neftel2019_Brain,Brain,MGH66,Macrophage,Macrophage,Neftel2019_Brain::MGH66
Tirosh2016_Brain,Brain,MGH36,Macrophage,Macrophage,Tirosh2016_Brain::MGH36
Tirosh2016_Brain,Brain,MGH53,Macrophage,Macrophage,Tirosh2016_Brain::MGH53
Tirosh2016_Brain,Brain,MGH54,Macrophage,Macrophage,Tirosh2016_Brain::MGH54
Tirosh2016_Brain,Brain,MGH54,Malignant,Malignant,Tirosh2016_Brain::MGH54
Tirosh2016_Brain,Brain,MGH53,Malignant,Malignant,Tirosh2016_Brain::MGH53
Tirosh2016_Brain,Brain,MGH36,Malignant,Malignant,Tirosh2016_Brain::MGH36
Tirosh2016_Brain,Brain,MGH60,Malignant,Malignant,Tirosh2016_Brain::MGH60
Tirosh2016_Brain,Brain,MGH97,Malignant,Malignant,Tirosh2016_Brain::MGH97
Tirosh2016_Brain,Brain,MGH93,Malignant,Malignant,Tirosh2016_Brain::MGH93
Venteicher2017_Brain,Brain,MGH57,Macrophage,Macrophage,Venteicher2017_Brain::MGH57
Venteicher2017_Brain,Brain,MGH103,Malignant,Malignant,Venteicher2017_Brain::MGH103
Venteicher2017_Brain,Brain,MGH107,Malignant,Malignant,Venteicher2017_Brain::MGH107
Venteicher2017_Brain,Brain,MGH107,Oligodendrocyte,Oligodendrocyte,Venteicher2017_Brain::MGH107
Venteicher2017_Brain,Brain,MGH107,Macrophage,Macrophage,Venteicher2017_Brain::MGH107
Venteicher2017_Brain,Brain,MGH42,Malignant,Malignant,Venteicher2017_Brain::MGH42
Venteicher2017_Brain,Brain,MGH42,Macrophage,Macrophage,Venteicher2017_Brain::MGH42
Venteicher2017_Brain,Brain,MGH43,Oligodendrocyte,Oligodendrocyte,Venteicher2017_Brain::MGH43
Venteicher2017_Brain,Brain,MGH43,Malignant,Malignant,Venteicher2017_Brain::MGH43
Venteicher2017_Brain,Brain,MGH43,Macrophage,Macrophage,Venteicher2017_Brain::MGH43
Venteicher2017_Brain,Brain,MGH44,Malignant,Malignant,Venteicher2017_Brain::MGH44
Venteicher2017_Brain,Brain,MGH44,Macrophage,Macrophage,Venteicher2017_Brain::MGH44
Venteicher2017_Brain,Brain,MGH44,Oligodendrocyte,Oligodendrocyte,Venteicher2017_Brain::MGH44
Venteicher2017_Brain,Brain,MGH45,Malignant,Malignant,Venteicher2017_Brain::MGH45
Venteicher2017_Brain,Brain,MGH45,Oligodendrocyte,Oligodendrocyte,Venteicher2017_Brain::MGH45
Venteicher2017_Brain,Brain,MGH45,Macrophage,Macrophage,Venteicher2017_Brain::MGH45
Venteicher2017_Brain,Brain,MGH45,T_cell,T cell,Venteicher2017_Brain::MGH45
Venteicher2017_Brain,Brain,MGH56,Malignant,Malignant,Venteicher2017_Brain::MGH56
Venteicher2017_Brain,Brain,MGH56,Oligodendrocyte,Oligodendrocyte,Venteicher2017_Brain::MGH56
Venteicher2017_Brain,Brain,MGH56,Macrophage,Macrophage,Venteicher2017_Brain::MGH56
Venteicher2017_Brain,Brain,MGH57,Malignant,Malignant,Venteicher2017_Brain::MGH57
Venteicher2017_Brain,Brain,MGH61,Malignant,Malignant,Venteicher2017_Brain::MGH61
Venteicher2017_Brain,Brain,MGH61,Macrophage,Macrophage,Venteicher2017_Brain::MGH61
